linesolver 9.813700e-06 457981128 346.260 108.410
linesolver 9.813700e-06 457981128 349.640 109.990
linesolver 9.813700e-06 457981128 349.250 110.070
linesolver 9.813700e-06 457981128 349.530 109.980
linesolver 9.813700e-06 457981128 348.310 110.040
linesolver 9.813700e-06 457981128 349.890 110.050
linesolver 9.813700e-06 457981128 347.610 110.000
linesolver 9.813700e-06 457981128 348.190 110.370
linesolver 9.813700e-06 457981128 349.620 110.100
linesolver 9.813700e-06 457981128 348.130 110.120
treesolver 9.813695e-06 457981128 668.240 109.680
treesolver 9.813695e-06 457981128 668.270 109.550
treesolver 9.813695e-06 457981128 668.230 109.640
treesolver 9.813695e-06 457981128 669.040 110.450
treesolver 9.813695e-06 457981128 668.170 109.730
treesolver 9.813695e-06 457981128 668.180 109.760
treesolver 9.813695e-06 457981128 668.540 109.540
treesolver 9.813695e-06 457981128 668.320 109.510
treesolver 9.813695e-06 457981128 670.180 111.100
treesolver 9.813695e-06 457981128 668.500 109.520
reclinesolver 8.972321e-06 455070231 413.100 121.080
reclinesolver 8.972321e-06 455070231 413.400 121.500
reclinesolver 8.972321e-06 455070231 413.420 121.390
reclinesolver 8.972321e-06 455070231 413.150 121.320
reclinesolver 8.972321e-06 455070231 413.180 121.210
reclinesolver 8.972321e-06 455070231 412.950 121.290
reclinesolver 8.972321e-06 455070231 413.200 121.290
reclinesolver 8.972321e-06 455070231 413.280 121.450
