linesolver
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
