linesolver
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.881596
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.519475
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.489603
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.279584
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.512147
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.028282
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.001047
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.000088
treesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777168, voltage energy = 1512570.742706, gap = 7397418.390524
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.743690
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.881596
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.519475
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.489603
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.279584
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.512147
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.028282
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.001047
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.000088
treesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777168, voltage energy = 1512570.742706, gap = 7397418.390524
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.743690
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.881596
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.519475
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.489603
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.279584
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.512147
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.028282
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.001047
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.000088
treesolver
iteration 1: energy = 7308157.202153 = 7308157.202154, xb = 711654.777168, voltage energy = 1512570.742706, gap = 7397418.390524
iteration 2: energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.743690
iteration 3: energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.881596
iteration 4: energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.519475
iteration 5: energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.489603
iteration 6: energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.279584
iteration 7: energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.512147
iteration 8: energy = 691751.862036 = 691751.862036, xb = 691736.038211, voltage energy = 691720.242667, gap = 0.028282
iteration 9: energy = 691751.849151 = 691751.849152, xb = 691751.960285, voltage energy = 691752.072465, gap = 0.001047
iteration 10: energy = 691751.848305 = 691751.848305, xb = 691751.473473, voltage energy = 691751.098728, gap = 0.000088
recursivelinesolver
iteration 0: residue = 3.078598, energy = 43705518.476150 = 43705518.476150, xb = 681466.661880, voltage energy = 5711315.300459, gap = 48053900.452848
iteration 1: residue = 2.175903, energy = 22142798.936922 = 22142798.936922, xb = 752153.074377, voltage energy = 3273857.016494, gap = 23912349.804662
iteration 2: residue = 1.638913, energy = 13011269.851134 = 13011269.851135, xb = 599176.881390, voltage energy = 1539077.810313, gap = 13351993.898668
iteration 3: residue = 1.218889, energy = 7308157.202154 = 7308157.202154, xb = 711654.777166, voltage energy = 1512570.742695, gap = 7397418.390516
iteration 4: residue = 0.795868, energy = 3319087.609828 = 3319087.609829, xb = 687155.042712, voltage energy = 1273846.834400, gap = 3218624.358804
iteration 5: residue = 0.544005, energy = 1910243.775230 = 1910243.775231, xb = 717088.472180, voltage energy = 1046718.752076, gap = 1522785.582946
iteration 6: residue = 0.427212, energy = 1339883.307780 = 1339883.307780, xb = 609530.376020, voltage energy = 834233.720844, gap = 955056.276584
iteration 7: residue = 0.285482, energy = 1044540.836156 = 1044540.836157, xb = 663609.690628, voltage energy = 693874.288790, gap = 411195.743690
iteration 8: residue = 0.229640, energy = 917036.955040 = 917036.955040, xb = 694592.620690, voltage energy = 730660.798681, gap = 258512.512341
iteration 9: residue = 0.179277, energy = 841677.644486 = 841677.644486, xb = 689905.949757, voltage energy = 699101.708990, gap = 160967.453963
