*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 3462745828
40000
1
root: 36251
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1311.63
Iter 7200000, Residual:0.543188
Iter 7240000, Residual:0.447981
Iter 7280000, Residual:0.438478
Iter 7320000, Residual:0.463122
Iter 7360000, Residual:0.40699
Iter 7400000, Residual:0.411939
Iter 7440000, Residual:0.414235
Iter 7480000, Residual:0.433002
Iter 7520000, Residual:0.450466
Iter 7560000, Residual:0.396518
Iter 7600000, Residual:0.419286
Iter 7640000, Residual:0.418181
Iter 7680000, Residual:0.401797
Iter 7720000, Residual:0.392309
Iter 7760000, Residual:0.428115
Iter 7800000, Residual:0.495896
Iter 7840000, Residual:0.452224
Iter 7880000, Residual:0.413131
Iter 7920000, Residual:0.406444
Iter 7960000, Residual:0.417997
Iter 8000000, Residual:0.394535
Iter 8040000, Residual:0.370747
Iter 8080000, Residual:0.352789
Iter 8120000, Residual:0.374248
Iter 8160000, Residual:0.362799
Iter 8200000, Residual:0.32966
Iter 8240000, Residual:0.335143
Iter 8280000, Residual:0.37537
Iter 8320000, Residual:0.322707
Iter 8360000, Residual:0.354658
Iter 8400000, Residual:0.352745
Iter 8440000, Residual:0.343602
Iter 8480000, Residual:0.323516
Iter 8520000, Residual:0.350486
Iter 8560000, Residual:0.318171
Iter 8600000, Residual:0.291553
Iter 8640000, Residual:0.304185
Iter 8680000, Residual:0.314201
Iter 8720000, Residual:0.355435
Iter 8760000, Residual:0.292916
Iter 8800000, Residual:0.276859
Iter 8840000, Residual:0.325566
Iter 8880000, Residual:0.35
Iter 8920000, Residual:0.321115
Iter 8960000, Residual:0.275518
Iter 9000000, Residual:0.269315
Iter 9040000, Residual:0.301195
Iter 9080000, Residual:0.311699
Iter 9120000, Residual:0.251941
Iter 9160000, Residual:0.252581
Iter 9200000, Residual:0.261228
Iter 9240000, Residual:0.261371
Iter 9280000, Residual:0.279947
Iter 9320000, Residual:0.288149
Iter 9360000, Residual:0.26917
Iter 9400000, Residual:0.298186
Iter 9440000, Residual:0.397573
Iter 9480000, Residual:0.343357
Iter 9520000, Residual:0.246724
Iter 9560000, Residual:0.283151
Iter 9600000, Residual:0.264253
Iter 9640000, Residual:0.244827
Iter 9680000, Residual:0.248585
Iter 9720000, Residual:0.245363
Iter 9760000, Residual:0.247852
Iter 9800000, Residual:0.252612
Iter 9840000, Residual:0.275807
Iter 9880000, Residual:0.289588
Iter 9920000, Residual:0.241686
Iter 9960000, Residual:0.2218
Iter 10000000, Residual:0.246609
Iter 10040000, Residual:0.233388
Iter 10080000, Residual:0.30289
Iter 10120000, Residual:0.222455
Iter 10160000, Residual:0.233765
Iter 10200000, Residual:0.204287
Iter 10240000, Residual:0.211076
Iter 10280000, Residual:0.224934
Iter 10320000, Residual:0.217959
Iter 10360000, Residual:0.214123
Iter 10400000, Residual:0.201385
Iter 10440000, Residual:0.195381
Iter 10480000, Residual:0.224027
Iter 10520000, Residual:0.202078
Iter 10560000, Residual:0.321389
Iter 10600000, Residual:0.186013
Iter 10640000, Residual:0.175387
Iter 10680000, Residual:0.195324
Iter 10720000, Residual:0.208116
Iter 10760000, Residual:0.18721
Iter 10800000, Residual:0.177766
Iter 10840000, Residual:0.196915
Iter 10880000, Residual:0.179453
Iter 10920000, Residual:0.198549
Iter 10960000, Residual:0.174943
