*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 7200000, Residual:0.13158
Iter 7240000, Residual:0.147284
Iter 7280000, Residual:0.130859
Iter 7320000, Residual:0.131809
Iter 7360000, Residual:0.117957
Iter 7400000, Residual:0.119144
Iter 7440000, Residual:0.133297
Iter 7480000, Residual:0.133795
Iter 7520000, Residual:0.118235
Iter 7560000, Residual:0.11763
Iter 7600000, Residual:0.125472
Iter 7640000, Residual:0.10762
Iter 7680000, Residual:0.114526
Iter 7720000, Residual:0.107419
Iter 7760000, Residual:0.108493
Iter 7800000, Residual:0.103604
Iter 7840000, Residual:0.116183
Iter 7880000, Residual:0.108008
Iter 7920000, Residual:0.105642
Iter 7960000, Residual:0.110116
Iter 8000000, Residual:0.105331
Iter 8040000, Residual:0.10401
Iter 8080000, Residual:0.105592
Iter 8120000, Residual:0.0997307
Iter 8160000, Residual:0.102601
Iter 8200000, Residual:0.113423
Iter 8240000, Residual:0.0963334
Iter 8280000, Residual:0.0972782
Iter 8320000, Residual:0.134791
Iter 8360000, Residual:0.0981322
Iter 8400000, Residual:0.0955134
Iter 8440000, Residual:0.097857
Iter 8480000, Residual:0.0964022
Iter 8520000, Residual:0.104309
Iter 8560000, Residual:0.0847582
Iter 8600000, Residual:0.0832468
Iter 8640000, Residual:0.0871452
Iter 8680000, Residual:0.0889869
Iter 8720000, Residual:0.0804125
Iter 8760000, Residual:0.0830291
Iter 8800000, Residual:0.0809447
Iter 8840000, Residual:0.0780095
Iter 8880000, Residual:0.0812819
Iter 8920000, Residual:0.0815831
Iter 8960000, Residual:0.0761714
Iter 9000000, Residual:0.0817756
Iter 9040000, Residual:0.0754964
Iter 9080000, Residual:0.0756418
Iter 9120000, Residual:0.0749867
Iter 9160000, Residual:0.0704106
