linesolver 4.919991e-06 14379264 3.890 1.220
linesolver 4.919991e-06 14379264 3.890 1.230
linesolver 4.919991e-06 14379264 3.890 1.210
linesolver 4.919991e-06 14379264 3.890 1.200
linesolver 4.919991e-06 14379264 3.890 1.220
linesolver 4.919991e-06 14379264 3.890 1.220
linesolver 4.919991e-06 14379264 3.880 1.200
linesolver 4.919991e-06 14379264 3.880 1.220
linesolver 4.919991e-06 14379264 3.890 1.220
linesolver 4.919991e-06 14379264 3.890 1.200
treesolver 4.919991e-06 14379264 7.510 1.180
treesolver 4.919991e-06 14379264 7.470 1.190
treesolver 4.919991e-06 14379264 7.360 1.200
treesolver 4.919991e-06 14379264 7.340 1.190
treesolver 4.919991e-06 14379264 7.340 1.190
treesolver 4.919991e-06 14379264 7.350 1.190
treesolver 4.919991e-06 14379264 7.360 1.170
treesolver 4.919991e-06 14379264 7.340 1.200
treesolver 4.919991e-06 14379264 7.390 1.200
treesolver 4.919991e-06 14379264 7.470 1.210
reclinesolver 9.944258e-06 13380704 4.730 1.200
reclinesolver 9.944258e-06 13380704 4.750 1.270
reclinesolver 9.944258e-06 13380704 4.790 1.270
reclinesolver 9.944258e-06 13380704 4.800 1.160
reclinesolver 9.944258e-06 13380704 4.850 1.290
reclinesolver 9.944258e-06 13380704 4.820 1.270
reclinesolver 9.944258e-06 13380704 4.890 1.300
reclinesolver 9.944258e-06 13380704 4.920 1.260
reclinesolver 9.944258e-06 13380704 4.930 1.250
reclinesolver 9.944258e-06 13380704 4.930 1.270
rectreesolver 9.944258e-06 13480560 16.020 2.070
rectreesolver 9.944258e-06 13480560 16.250 2.010
rectreesolver 9.944258e-06 13480560 16.950 2.310
rectreesolver 9.944258e-06 13480560 17.730 2.530
rectreesolver 9.944258e-06 13480560 15.760 2.030
rectreesolver 9.944258e-06 13480560 16.120 2.060
rectreesolver 9.944258e-06 13480560 16.330 2.140
rectreesolver 9.944258e-06 13480560 16.370 2.230
rectreesolver 9.944258e-06 13480560 16.570 2.130
rectreesolver 9.944258e-06 13480560 16.650 2.110
